image,class_id,similarity_individual,similarity_class,difference,individual_better
image_05629.jpg,4,0.14682,0.13099,0.01584,True
image_05630.jpg,4,0.17457,0.13109,0.04348,True
image_05631.jpg,4,0.16759,0.14658,0.021,True
image_05632.jpg,4,0.13649,0.14787,-0.01138,False
image_05633.jpg,4,0.13852,0.12208,0.01644,True
image_05634.jpg,4,0.11138,0.10914,0.00224,True
image_05635.jpg,4,0.14588,0.10532,0.04056,True
image_05639.jpg,4,0.14529,0.1397,0.00559,True
image_05641.jpg,4,0.16402,0.14678,0.01724,True
image_05642.jpg,4,0.14965,0.14157,0.00808,True
image_05643.jpg,4,0.15597,0.13759,0.01838,True
image_05644.jpg,4,0.13365,0.1429,-0.00926,False
image_05645.jpg,4,0.14033,0.13885,0.00148,True
image_05646.jpg,4,0.08974,0.10548,-0.01574,False
image_05647.jpg,4,0.14921,0.11245,0.03676,True
image_05648.jpg,4,0.12447,0.13504,-0.01057,False
image_05649.jpg,4,0.14546,0.12032,0.02514,True
image_05650.jpg,4,0.12522,0.136,-0.01078,False
image_05651.jpg,4,0.09657,0.11356,-0.01699,False
image_05652.jpg,4,0.15487,0.10568,0.0492,True
image_05654.jpg,4,0.12259,0.13879,-0.0162,False
image_05655.jpg,4,0.11286,0.12964,-0.01678,False
image_05656.jpg,4,0.16528,0.13219,0.0331,True
image_05659.jpg,4,0.14466,0.12268,0.02198,True
image_05661.jpg,4,0.14059,0.1239,0.01669,True
image_05662.jpg,4,0.15646,0.14169,0.01477,True
image_05663.jpg,4,0.17469,0.10626,0.06842,True
image_05664.jpg,4,0.11097,0.11469,-0.00372,False
image_05665.jpg,4,0.14526,0.12861,0.01665,True
image_05666.jpg,4,0.14592,0.1284,0.01752,True
image_05667.jpg,4,0.13993,0.13006,0.00988,True
image_05668.jpg,4,0.17308,0.15085,0.02223,True
image_05669.jpg,4,0.19349,0.11533,0.07816,True
image_05670.jpg,4,0.1421,0.14189,0.00021,True
image_05671.jpg,4,0.13027,0.12404,0.00624,True
image_05672.jpg,4,0.1885,0.12002,0.06848,True
image_05673.jpg,4,0.12902,0.12879,0.00023,True
image_05674.jpg,4,0.14373,0.14389,-0.00016,False
image_05675.jpg,4,0.12985,0.13916,-0.00932,False
image_05676.jpg,4,0.14363,0.14387,-0.00024,False
image_05679.jpg,4,0.17114,0.13407,0.03707,True
image_05682.jpg,4,0.13118,0.11493,0.01625,True
image_05683.jpg,4,0.14144,0.13423,0.00721,True
image_05684.jpg,4,0.14015,0.12532,0.01483,True
image_05147.jpg,5,0.08875,0.11385,-0.02511,False
image_05148.jpg,5,0.12184,0.11202,0.00982,True
image_05149.jpg,5,0.14192,0.11735,0.02457,True
image_05150.jpg,5,0.10232,0.12583,-0.02351,False
image_05151.jpg,5,0.12687,0.12903,-0.00216,False
image_05152.jpg,5,0.14708,0.11144,0.03564,True
image_05153.jpg,5,0.13832,0.13045,0.00787,True
image_05154.jpg,5,0.08586,0.11336,-0.0275,False
image_05155.jpg,5,0.16045,0.12852,0.03193,True
image_05156.jpg,5,0.13066,0.13474,-0.00408,False
image_05157.jpg,5,0.10162,0.14088,-0.03926,False
image_05158.jpg,5,0.13136,0.10294,0.02842,True
image_05160.jpg,5,0.13507,0.13291,0.00216,True
image_05161.jpg,5,0.11805,0.12576,-0.00772,False
image_05162.jpg,5,0.12838,0.13186,-0.00348,False
image_05163.jpg,5,0.1134,0.12092,-0.00753,False
image_05165.jpg,5,0.13343,0.13018,0.00325,True
image_05167.jpg,5,0.18226,0.12197,0.0603,True
image_05170.jpg,5,0.12886,0.1254,0.00346,True
image_05171.jpg,5,0.13573,0.12882,0.00691,True
image_05172.jpg,5,0.11951,0.134,-0.01449,False
image_05173.jpg,5,0.11787,0.13305,-0.01518,False
image_05174.jpg,5,0.14299,0.12596,0.01703,True
image_05175.jpg,5,0.14511,0.11914,0.02597,True
image_05176.jpg,5,0.13063,0.12949,0.00113,True
image_05177.jpg,5,0.11314,0.12563,-0.01249,False
image_05178.jpg,5,0.09194,0.1296,-0.03766,False
image_05179.jpg,5,0.13802,0.12807,0.00995,True
image_05180.jpg,5,0.11738,0.12576,-0.00837,False
image_05181.jpg,5,0.09708,0.11208,-0.015,False
image_05182.jpg,5,0.1183,0.1311,-0.01279,False
image_05183.jpg,5,0.13893,0.12802,0.01091,True
image_05184.jpg,5,0.13708,0.1227,0.01438,True
image_05185.jpg,5,0.1221,0.12441,-0.00232,False
image_05187.jpg,5,0.13929,0.10741,0.03188,True
image_05189.jpg,5,0.13151,0.11947,0.01204,True
image_05190.jpg,5,0.12301,0.11872,0.00428,True
image_05191.jpg,5,0.13513,0.12571,0.00942,True
image_05193.jpg,5,0.12946,0.12597,0.00349,True
image_05194.jpg,5,0.13403,0.11885,0.01518,True
image_05195.jpg,5,0.14562,0.12852,0.0171,True
image_05197.jpg,5,0.13278,0.11862,0.01416,True
image_05198.jpg,5,0.13296,0.06321,0.06975,True
image_05200.jpg,5,0.14319,0.12162,0.02157,True
image_05201.jpg,5,0.13383,0.12413,0.0097,True
